nestl_bw,nestl_fws,sex,nestl,sex_ratio,incomplete,nestl_age,nestl_r_tars,nestl_mass,ln_nestl_r_tars,ln_nestl_mass,nestl_scaled_mass,mean_brood_mass,sd_brood_mass,nest_id,year,plot,elevation,treatment,female_fws,female_bands,female_age,female_r_tars,female_mass,ln_female_r_tars,ln_female_mass,ln_female_scaled_mass,male_fws,male_bands,male_age,ccd,ccd_ord,eggs,hd,hd_ord,hatched,fd,fd_ord,fledged,fate,period,caterpillar_biomass_nestl,ln_caterpillar_biomass_nestl
4768,2510-08118,0,4,0.5,,6,16.66,7.2,2.813010637,1.974081026,7.098803613,8,0.559761854,"""07-160""",2007,HB-mid,High,Control,2460-33037,"KG,KA",ASY,18.84,11.1,2.935982269,2.406945108,11.09432126,2430-61592,"A,WO",ASY,6/13/07,164,4,6/25/07,176,4,7/4/07,185,4,FLEDGED,1,12.43382572,2.52042064
4769,2510-08119,0,4,0.5,,6,16.78,8.5,2.820187701,2.140066163,8.310334682,8,0.559761854,"""07-160""",2007,HB-mid,High,Control,2460-33037,"KG,KA",ASY,18.84,11.1,2.935982269,2.406945108,11.09432126,2430-61592,"A,WO",ASY,6/13/07,164,4,6/25/07,176,4,7/4/07,185,4,FLEDGED,1,12.43382572,2.52042064
4770,2510-08120,1,4,0.5,,6,16.33,8.1,2.793003907,2.091864062,8.175625172,8,0.559761854,"""07-160""",2007,HB-mid,High,Control,2460-33037,"KG,KA",ASY,18.84,11.1,2.935982269,2.406945108,11.09432126,2430-61592,"A,WO",ASY,6/13/07,164,4,6/25/07,176,4,7/4/07,185,4,FLEDGED,1,12.43382572,2.52042064
4771,2510-08121,1,4,0.5,,6,17.04,8.2,2.835563521,2.104134154,7.873852124,8,0.559761854,"""07-160""",2007,HB-mid,High,Control,2460-33037,"KG,KA",ASY,18.84,11.1,2.935982269,2.406945108,11.09432126,2430-61592,"A,WO",ASY,6/13/07,164,4,6/25/07,176,4,7/4/07,185,4,FLEDGED,1,12.43382572,2.52042064
4822,2460-33075,1,4,0.5,,6,15.8,8.5,2.76000994,2.140066163,8.917612186,8.1875,1.179247642,"""07-163""",2007,HB-main,High,Fed,2460-33036,"GO,OA",SY,18.16,10.1,2.899221373,2.312535424,10.10441165,2460-33030,"A,PK",SY,6/13/07,164,4,6/25/07,176,4,7/2/07,183,0,failed: pred,1,24.26287665,3.188947472
4823,2460-33076,0,4,0.5,,6,16.1,9.25,2.778819272,2.224623552,9.492870751,8.1875,1.179247642,"""07-163""",2007,HB-main,High,Fed,2460-33036,"GO,OA",SY,18.16,10.1,2.899221373,2.312535424,10.10441165,2460-33030,"A,PK",SY,6/13/07,164,4,6/25/07,176,4,7/2/07,183,0,failed: pred,1,24.26287665,3.188947472
4824,2460-33077,0,4,0.5,,6,15.7,8.5,2.753660712,2.140066163,8.984218278,8.1875,1.179247642,"""07-163""",2007,HB-main,High,Fed,2460-33036,"GO,OA",SY,18.16,10.1,2.899221373,2.312535424,10.10441165,2460-33030,"A,PK",SY,6/13/07,164,4,6/25/07,176,4,7/2/07,183,0,failed: pred,1,24.26287665,3.188947472
4825,2460-33079,1,4,0.5,,6,14.7,6.5,2.687847494,1.871802177,7.421184043,8.1875,1.179247642,"""07-163""",2007,HB-main,High,Fed,2460-33036,"GO,OA",SY,18.16,10.1,2.899221373,2.312535424,10.10441165,2460-33030,"A,PK",SY,6/13/07,164,4,6/25/07,176,4,7/2/07,183,0,failed: pred,1,24.26287665,3.188947472
4774,2460-33084,1,4,0.5,,6,16.7,8.3,2.815408719,2.116255515,8.160375626,8.175,0.419324854,"""07-177""",2007,HB-mid,High,Fed,2460-33070,"RO,RA",SY,17.54,10.5,2.864483987,2.351375257,10.51400506,2460-33002,"Y,AK",ASY,6/16/07,167,4,6/28/07,179,4,7/7/07,188,4,FLEDGED,1,9.093677543,2.207579397
4775,2460-33085,1,4,0.5,,6,15.3,7.6,2.727852828,2.028148247,8.27963129,8.175,0.419324854,"""07-177""",2007,HB-mid,High,Fed,2460-33070,"RO,RA",SY,17.54,10.5,2.864483987,2.351375257,10.51400506,2460-33002,"Y,AK",ASY,6/16/07,167,4,6/28/07,179,4,7/7/07,188,4,FLEDGED,1,9.093677543,2.207579397
4776,2460-33086,0,4,0.5,,6,16.6,8.2,2.809402695,2.104134154,8.119007358,8.175,0.419324854,"""07-177""",2007,HB-mid,High,Fed,2460-33070,"RO,RA",SY,17.54,10.5,2.864483987,2.351375257,10.51400506,2460-33002,"Y,AK",ASY,6/16/07,167,4,6/28/07,179,4,7/7/07,188,4,FLEDGED,1,9.093677543,2.207579397
4777,2460-33087,0,4,0.5,,6,16.9,8.6,2.827313622,2.151762203,8.338174797,8.175,0.419324854,"""07-177""",2007,HB-mid,High,Fed,2460-33070,"RO,RA",SY,17.54,10.5,2.864483987,2.351375257,10.51400506,2460-33002,"Y,AK",ASY,6/16/07,167,4,6/28/07,179,4,7/7/07,188,4,FLEDGED,1,9.093677543,2.207579397
4830,2460-33088,1,4,0.75,,6,16,9,2.772588722,2.197224577,9.303998925,8.375,0.478713554,"""07-194""",2007,HB-mid,High,Control,2430-61711,"A,YP",ASY,18.11,10.2,2.896464272,2.32238772,10.20518123,2460-33034,"KY,KA",ASY,6/17/07,168,4,6/29/07,180,4,7/7/07,188,4,FLEDGED,1,17.9388595,2.886969282
4831,2460-33089,0,4,0.75,,6,15.9,8,2.766319109,2.079441542,8.331214555,8.375,0.478713554,"""07-194""",2007,HB-mid,High,Control,2430-61711,"A,YP",ASY,18.11,10.2,2.896464272,2.32238772,10.20518123,2460-33034,"KY,KA",ASY,6/17/07,168,4,6/29/07,180,4,7/7/07,188,4,FLEDGED,1,17.9388595,2.886969282
4832,2460-33090,1,4,0.75,,6,16.5,8.5,2.803360381,2.140066163,8.475854735,8.375,0.478713554,"""07-194""",2007,HB-mid,High,Control,2430-61711,"A,YP",ASY,18.11,10.2,2.896464272,2.32238772,10.20518123,2460-33034,"KY,KA",ASY,6/17/07,168,4,6/29/07,180,4,7/7/07,188,4,FLEDGED,1,17.9388595,2.886969282
4833,2460-33091,1,4,0.75,,6,16.8,8,2.821378886,2.079441542,7.810579741,8.375,0.478713554,"""07-194""",2007,HB-mid,High,Control,2430-61711,"A,YP",ASY,18.11,10.2,2.896464272,2.32238772,10.20518123,2460-33034,"KY,KA",ASY,6/17/07,168,4,6/29/07,180,4,7/7/07,188,4,FLEDGED,1,17.9388595,2.886969282
5032,2510-08137,1,4,0.25,,6,15.6,7.75,2.747270914,2.047692843,8.25306822,7.5,0.841625412,"""07-211""",2007,HB-main,High,Control,2460-32992,"AR,B",SY,18.08,9.2,2.894806355,2.219203484,9.205066999,2460-32993,"P,AW",SY,6/22/07,173,4,7/4/07,185,4,7/12/07,193,0,failed: pred,2,59.33587718,4.083214135
5033,2510-08138,0,4,0.25,,6,16,8,2.772588722,2.079441542,8.270221267,7.5,0.841625412,"""07-211""",2007,HB-main,High,Control,2460-32992,"AR,B",SY,18.08,9.2,2.894806355,2.219203484,9.205066999,2460-32993,"P,AW",SY,6/22/07,173,4,7/4/07,185,4,7/12/07,193,0,failed: pred,2,59.33587718,4.083214135
5034,2510-08139,0,4,0.25,,6,14.4,6.25,2.667228207,1.832581464,7.310295598,7.5,0.841625412,"""07-211""",2007,HB-main,High,Control,2460-32992,"AR,B",SY,18.08,9.2,2.894806355,2.219203484,9.205066999,2460-32993,"P,AW",SY,6/22/07,173,4,7/4/07,185,4,7/12/07,193,0,failed: pred,2,59.33587718,4.083214135
5035,2510-08140,0,4,0.25,,6,15.3,8,2.727852828,2.079441542,8.715401358,7.5,0.841625412,"""07-211""",2007,HB-main,High,Control,2460-32992,"AR,B",SY,18.08,9.2,2.894806355,2.219203484,9.205066999,2460-32993,"P,AW",SY,6/22/07,173,4,7/4/07,185,4,7/12/07,193,0,failed: pred,2,59.33587718,4.083214135
5028,2510-08133,1,4,0.75,,6,16.1,8,2.778819272,2.079441542,8.210050379,7.75,0.5,"""07-212""",2007,HB-main,High,Fed,2510-08104,"YY,YA",SY,17.68,10.5,2.872434057,2.351375257,10.51184873,2460-33031,"WO,WA",SY,6/21/07,172,4,7/3/07,184,4,7/10/07,191,0,failed: pred,2,26.90045801,3.292143313
5029,2510-08134,1,4,0.75,,6,16.1,7,2.778819272,1.945910149,7.183794082,7.75,0.5,"""07-212""",2007,HB-main,High,Fed,2510-08104,"YY,YA",SY,17.68,10.5,2.872434057,2.351375257,10.51184873,2460-33031,"WO,WA",SY,6/21/07,172,4,7/3/07,184,4,7/10/07,191,0,failed: pred,2,26.90045801,3.292143313
5030,2510-08135,1,4,0.75,,6,15.4,8,2.734367509,2.079441542,8.649110865,7.75,0.5,"""07-212""",2007,HB-main,High,Fed,2510-08104,"YY,YA",SY,17.68,10.5,2.872434057,2.351375257,10.51184873,2460-33031,"WO,WA",SY,6/21/07,172,4,7/3/07,184,4,7/10/07,191,0,failed: pred,2,26.90045801,3.292143313
5031,2510-08136,0,4,0.75,,6,17.1,8,2.839078464,2.079441542,7.650226745,7.75,0.5,"""07-212""",2007,HB-main,High,Fed,2510-08104,"YY,YA",SY,17.68,10.5,2.872434057,2.351375257,10.51184873,2460-33031,"WO,WA",SY,6/21/07,172,4,7/3/07,184,4,7/10/07,191,0,failed: pred,2,26.90045801,3.292143313
4886,2510-09701,1,3,,Y,6,17.3,8.25,2.850706502,2.1102132,7.782509822,,,"""07-317""",2007,HB-mid,High,Fed,2460-33010,"OO,YA",ASY,17.97,11.6,2.888703701,2.451005098,11.60821638,2430-61595,"O,AG",ASY,7/10/07,191,3,7/23/07,204,2,8/1/07,213,2,FLEDGED,3,35.03966301,3.556480649
4887,2510-09702,0,3,,Y,6,16.8,8,2.821378886,2.079441542,7.810579741,,,"""07-317""",2007,HB-mid,High,Fed,2460-33010,"OO,YA",ASY,17.97,11.6,2.888703701,2.451005098,11.60821638,2430-61595,"O,AG",ASY,7/10/07,191,3,7/23/07,204,2,8/1/07,213,2,FLEDGED,3,35.03966301,3.556480649
UNK1,UNK1,,3,,Y,6,,,,,,,,"""07-317""",2007,HB-mid,High,Fed,2460-33010,"OO,YA",ASY,17.97,11.6,2.888703701,2.451005098,11.60821638,2430-61595,"O,AG",ASY,7/10/07,191,3,7/23/07,204,2,8/1/07,213,2,FLEDGED,3,35.03966301,3.556480649
4806,2510-08199,1,4,0.25,,6,16.9,7.7,2.827313622,2.041220329,7.465575109,7.625,0.25,"""07-319""",2007,HB-outer,High,Control,2510-08167,"BY,GA",ASY,18.8,,2.93385687,,,2430-61596,"O,AB",ASY,7/9/07,190,4,7/21/07,202,4,7/30/07,211,4,FLEDGED,3,61.10752884,4.11263508
5065,2510-08196,0,4,0.25,,6,15.8,7.3,2.76000994,1.987874348,7.658655172,7.625,0.25,"""07-319""",2007,HB-outer,High,Control,2510-08167,"BY,GA",ASY,18.8,,2.93385687,,,2430-61596,"O,AB",ASY,7/9/07,190,4,7/21/07,202,4,7/30/07,211,4,FLEDGED,3,61.10752884,4.11263508
5066,2510-08197,0,4,0.25,,6,16.3,7.9,2.791165108,2.066862759,7.990960441,7.625,0.25,"""07-319""",2007,HB-outer,High,Control,2510-08167,"BY,GA",ASY,18.8,,2.93385687,,,2430-61596,"O,AB",ASY,7/9/07,190,4,7/21/07,202,4,7/30/07,211,4,FLEDGED,3,61.10752884,4.11263508
5067,2510-08198,0,4,0.25,,6,16.4,7.6,2.797281335,2.028148247,7.63259756,7.625,0.25,"""07-319""",2007,HB-outer,High,Control,2510-08167,"BY,GA",ASY,18.8,,2.93385687,,,2430-61596,"O,AB",ASY,7/9/07,190,4,7/21/07,202,4,7/30/07,211,4,FLEDGED,3,61.10752884,4.11263508
4901,2510-09716,1,3,1,,6,16.5,7.4,2.803360381,2.00148,7.378979417,8.066666667,0.65064071,"""07-347""",2007,HB-main,High,Fed,2510-08104,"YY,YA",SY,17.68,10.5,2.872434057,2.351375257,10.51184873,2460-33031,"WO,WA",SY,7/18/07,199,3,7/30/07,211,3,8/8/07,220,3,FLEDGED,4,92.00821541,4.521877871
4902,2510-09717,1,3,1,,6,17.1,8.1,2.839078464,2.091864062,7.745854579,8.066666667,0.65064071,"""07-347""",2007,HB-main,High,Fed,2510-08104,"YY,YA",SY,17.68,10.5,2.872434057,2.351375257,10.51184873,2460-33031,"WO,WA",SY,7/18/07,199,3,7/30/07,211,3,8/8/07,220,3,FLEDGED,4,92.00821541,4.521877871
4903,2510-09718,1,3,1,,6,17.2,8.7,2.844909384,2.163323026,8.262960461,8.066666667,0.65064071,"""07-347""",2007,HB-main,High,Fed,2510-08104,"YY,YA",SY,17.68,10.5,2.872434057,2.351375257,10.51184873,2460-33031,"WO,WA",SY,7/18/07,199,3,7/30/07,211,3,8/8/07,220,3,FLEDGED,4,92.00821541,4.521877871
4911,2510-09726,0,3,0.67,,5,15.5,8,2.740840024,2.079441542,8.583748777,6.633333333,1.209683154,"""07-367""",2007,HB-main,High,Control,2460-33036,"GO,OA",SY,18.16,10.1,2.899221373,2.312535424,10.10441165,2460-33030,"A,PK",SY,7/28/07,209,3,8/8/07,220,3,8/16/07,228,3,FLEDGED,4,367.1332489,5.905724858
4953,2510-09727,1,3,0.67,,5,13.8,6.2,2.624668592,1.824549292,7.622705864,6.633333333,1.209683154,"""07-367""",2007,HB-main,High,Control,2460-33036,"GO,OA",SY,18.16,10.1,2.899221373,2.312535424,10.10441165,2460-33030,"A,PK",SY,7/28/07,209,3,8/8/07,220,3,8/16/07,228,3,FLEDGED,4,367.1332489,5.905724858
4954,2510-09728,1,3,0.67,,5,13.1,5.7,2.57261223,1.740466175,7.448840226,6.633333333,1.209683154,"""07-367""",2007,HB-main,High,Control,2460-33036,"GO,OA",SY,18.16,10.1,2.899221373,2.312535424,10.10441165,2460-33030,"A,PK",SY,7/28/07,209,3,8/8/07,220,3,8/16/07,228,3,FLEDGED,4,367.1332489,5.905724858
4904,2510-09719,0,3,0.33,,6,16.5,7.2,2.803360381,1.974081026,7.179547541,8,0.692820323,"""07-369""",2007,HB-mid,High,Control,2430-61711,"A,YP",ASY,18.11,10.2,2.896464272,2.32238772,10.20518123,2460-33034,"KY,KA",ASY,7/14/07,195,3,7/30/07,211,3,8/9/07,221,3,FLEDGED,3,72.74898377,4.287014937
4905,2510-09720,0,3,0.33,,6,17.3,8.4,2.850706502,2.128231706,7.924010001,8,0.692820323,"""07-369""",2007,HB-mid,High,Control,2430-61711,"A,YP",ASY,18.11,10.2,2.896464272,2.32238772,10.20518123,2460-33034,"KY,KA",ASY,7/14/07,195,3,7/30/07,211,3,8/9/07,221,3,FLEDGED,3,72.74898377,4.287014937
4906,2510-09721,1,3,0.33,,6,17.3,8.4,2.850706502,2.128231706,7.924010001,8,0.692820323,"""07-369""",2007,HB-mid,High,Control,2430-61711,"A,YP",ASY,18.11,10.2,2.896464272,2.32238772,10.20518123,2460-33034,"KY,KA",ASY,7/14/07,195,3,7/30/07,211,3,8/9/07,221,3,FLEDGED,3,72.74898377,4.287014937
4955,2510-09729,1,3,0.67,,6,14.45,6.6,2.670694415,1.887069649,7.688375401,7.4,0.8,"""07-374""",2007,HB-main,High,Fed,2510-08189,"BR,BA",ASY,18.45,9.2,2.91506437,2.219203484,9.200257165,2460-33007,"GK,A",ASY,7/29/07,210,3,8/9/07,221,3,8/18/07,230,3,assumed fledged,4,152.772046,5.028946915
4956,2510-09730,1,3,0.67,,6,16.4,7.4,2.797281335,2.00148,7.431739729,7.4,0.8,"""07-374""",2007,HB-main,High,Fed,2510-08189,"BR,BA",ASY,18.45,9.2,2.91506437,2.219203484,9.200257165,2460-33007,"GK,A",ASY,7/29/07,210,3,8/9/07,221,3,8/18/07,230,3,assumed fledged,4,152.772046,5.028946915
4957,2510-09731,0,3,0.67,,6,16.4,8.2,2.797281335,2.104134154,8.235171051,7.4,0.8,"""07-374""",2007,HB-main,High,Fed,2510-08189,"BR,BA",ASY,18.45,9.2,2.91506437,2.219203484,9.200257165,2460-33007,"GK,A",ASY,7/29/07,210,3,8/9/07,221,3,8/18/07,230,3,assumed fledged,4,152.772046,5.028946915
4896,2510-09711,1,3,0.67,,6,17.7,7.6,2.87356464,2.028148247,6.979827441,7.533333333,0.702376917,"""07-375""",2007,HB-outer,High,Control,2510-08103,"RO,BA",SY,19.53,10.5,2.971951745,2.351375257,10.48489359,2280-84328,"AB,K",ASY,7/15/07,196,3,7/26/07,207,3,8/4/07,216,3,FLEDGED,3,162.0522502,5.087918815
4897,2510-09712,0,3,0.67,,6,17.8,8.2,2.879198457,2.104134154,7.481305188,7.533333333,0.702376917,"""07-375""",2007,HB-outer,High,Control,2510-08103,"RO,BA",SY,19.53,10.5,2.971951745,2.351375257,10.48489359,2280-84328,"AB,K",ASY,7/15/07,196,3,7/26/07,207,3,8/4/07,216,3,FLEDGED,3,162.0522502,5.087918815
4898,2510-09713,1,3,0.67,,6,16.5,6.8,2.803360381,1.916922612,6.780683788,7.533333333,0.702376917,"""07-375""",2007,HB-outer,High,Control,2510-08103,"RO,BA",SY,19.53,10.5,2.971951745,2.351375257,10.48489359,2280-84328,"AB,K",ASY,7/15/07,196,3,7/26/07,207,3,8/4/07,216,3,FLEDGED,3,162.0522502,5.087918815
4892,2510-09707,1,4,0.75,,6,16.3,7.6,2.791165108,2.028148247,7.687506247,7.5,0.40824829,"""07-379""",2007,HB-outer,High,Fed,2280-84536,"WA,B",ASY,19.51,11.8,2.970927155,2.468099531,11.78333475,2430-61874,"AW,K",ASY,7/14/07,195,4,7/26/07,207,4,8/5/07,217,4,FLEDGED,3,274.2514334,5.614045326
4893,2510-09708,0,4,0.75,,6,16.1,7.8,2.778819272,2.054123734,8.004799119,7.5,0.40824829,"""07-379""",2007,HB-outer,High,Fed,2280-84536,"WA,B",ASY,19.51,11.8,2.970927155,2.468099531,11.78333475,2430-61874,"AW,K",ASY,7/14/07,195,4,7/26/07,207,4,8/5/07,217,4,FLEDGED,3,274.2514334,5.614045326
4894,2510-09709,1,4,0.75,,6,15.3,6.9,2.727852828,1.931521412,7.517033671,7.5,0.40824829,"""07-379""",2007,HB-outer,High,Fed,2280-84536,"WA,B",ASY,19.51,11.8,2.970927155,2.468099531,11.78333475,2430-61874,"AW,K",ASY,7/14/07,195,4,7/26/07,207,4,8/5/07,217,4,FLEDGED,3,274.2514334,5.614045326
4895,2510-09710,1,4,0.75,,6,16.1,7.7,2.778819272,2.041220329,7.90217349,7.5,0.40824829,"""07-379""",2007,HB-outer,High,Fed,2280-84536,"WA,B",ASY,19.51,11.8,2.970927155,2.468099531,11.78333475,2430-61874,"AW,K",ASY,7/14/07,195,4,7/26/07,207,4,8/5/07,217,4,FLEDGED,3,274.2514334,5.614045326
5852,2590-89759,1,3,1,,6,16.48,8.8,2.802147524,2.174751721,8.787484802,8.5,0.888819442,"""09-112""",2009,HB-mid,High,Control,2590-89738,"BB,YA",SY,18.8,11.6,2.93385687,2.451005098,11.59470124,2510-06912,"WP,WA",ASY,6/27/09,178,3,7/9/09,190,3,7/19/09,200,3,FLEDGED,2,45.14659267,3.80991481
5853,2590-89760,1,3,1,,6,15.9,9.2,2.766319109,2.219203484,9.580896739,8.5,0.888819442,"""09-112""",2009,HB-mid,High,Control,2590-89738,"BB,YA",SY,18.8,11.6,2.93385687,2.451005098,11.59470124,2510-06912,"WP,WA",ASY,6/27/09,178,3,7/9/09,190,3,7/19/09,200,3,FLEDGED,2,45.14659267,3.80991481
5854,2590-89761,1,3,1,,6,15.53,7.5,2.742773637,2.014903021,8.029048459,8.5,0.888819442,"""09-112""",2009,HB-mid,High,Control,2590-89738,"BB,YA",SY,18.8,11.6,2.93385687,2.451005098,11.59470124,2510-06912,"WP,WA",ASY,6/27/09,178,3,7/9/09,190,3,7/19/09,200,3,FLEDGED,2,45.14659267,3.80991481
5807,2590-89752,0,3,0.67,,6,17.33,7.83,2.852439104,2.05796251,7.371325828,8.063333333,0.466082968,"""09-118""",2009,N Ridge,High,Control,2510-08245,"BG,YA",ASY,18.53,10.97,2.91939104,2.395164274,10.96908212,2510-43805,"WR,YA",SY,6/28/09,179,3,7/10/09,191,3,7/19/09,200,3,FLEDGED,2,461.6083798,6.134716869
5808,2590-89753,1,3,0.67,,6,16.38,7.76,2.796061078,2.048982334,7.804437289,8.063333333,0.466082968,"""09-118""",2009,N Ridge,High,Control,2510-08245,"BG,YA",ASY,18.53,10.97,2.91939104,2.395164274,10.96908212,2510-43805,"WR,YA",SY,6/28/09,179,3,7/10/09,191,3,7/19/09,200,3,FLEDGED,2,461.6083798,6.134716869
5809,2590-89754,1,3,0.67,,6,16.35,8.6,2.794227897,2.151762203,8.667850294,8.063333333,0.466082968,"""09-118""",2009,N Ridge,High,Control,2510-08245,"BG,YA",ASY,18.53,10.97,2.91939104,2.395164274,10.96908212,2510-43805,"WR,YA",SY,6/28/09,179,3,7/10/09,191,3,7/19/09,200,3,FLEDGED,2,461.6083798,6.134716869
5827,2590-89777,0,2,0.5,,6,15.2,6.8,2.721295428,1.916922612,7.465243696,6.6,0.282842712,"""09-125""",2009,HQ-N,Low,Control,2590-89845,"OG,WA",SY,17.7,10.6,2.87356464,2.360854001,10.61165204,2590-89803,"RG,RA",SY,7/1/09,182,2,7/13/09,194,2,7/23/09,204,2,FLEDGED,2,24.56536462,3.201337508
5828,2590-89778,1,2,0.5,,6,15.7,6.4,2.753660712,1.85629799,6.76458788,6.6,0.282842712,"""09-125""",2009,HQ-N,Low,Control,2590-89845,"OG,WA",SY,17.7,10.6,2.87356464,2.360854001,10.61165204,2590-89803,"RG,RA",SY,7/1/09,182,2,7/13/09,194,2,7/23/09,204,2,FLEDGED,2,24.56536462,3.201337508
5703,2590-89716,1,4,0.5,,5,15.2,5.42,2.721295428,1.690095815,5.950238358,5.755,0.677667568,"""09-134""",2009,HB-mid,High,Control,2590-89677,"OP,GA",SY,18.6,11,2.923161581,2.397895273,10.99800967,2510-43863,"OW,GA",SY,6/29/09,180,4,7/13/09,194,4,7/24/09,205,4,FLEDGED,2,37.79231153,3.632105683
5704,2590-89715,0,4,0.5,,5,13.9,4.97,2.63188884,1.60341984,6.058970034,5.755,0.677667568,"""09-134""",2009,HB-mid,High,Control,2590-89677,"OP,GA",SY,18.6,11,2.923161581,2.397895273,10.99800967,2510-43863,"OW,GA",SY,6/29/09,180,4,7/13/09,194,4,7/24/09,205,4,FLEDGED,2,37.79231153,3.632105683
5705,2590-89714,0,4,0.5,,5,15.6,6.21,2.747270914,1.826160896,6.613103696,5.755,0.677667568,"""09-134""",2009,HB-mid,High,Control,2590-89677,"OP,GA",SY,18.6,11,2.923161581,2.397895273,10.99800967,2510-43863,"OW,GA",SY,6/29/09,180,4,7/13/09,194,4,7/24/09,205,4,FLEDGED,2,37.79231153,3.632105683
5706,2590-89713,1,4,0.5,,5,16.2,6.42,2.785011242,1.859418118,6.540925352,5.755,0.677667568,"""09-134""",2009,HB-mid,High,Control,2590-89677,"OP,GA",SY,18.6,11,2.923161581,2.397895273,10.99800967,2510-43863,"OW,GA",SY,6/29/09,180,4,7/13/09,194,4,7/24/09,205,4,FLEDGED,2,37.79231153,3.632105683
5759,2590-89854,0,4,,Y,6,16.28,7.66,2.789937361,2.036011984,7.759354145,,,"""09-137""",2009,N Ridge,High,Control,2510-43838,"KG,GA",SY,19.22,10.8,2.955951404,2.379546134,10.78891482,2510-43806,"KG,GA",SY,7/3/09,184,4,7/16/09,197,3,7/26/09,207,3,FLEDGED,3,1328.51475,7.191816868
5760,2590-89855,1,4,,Y,6,16.35,7.75,2.794227897,2.047692843,7.81114416,,,"""09-137""",2009,N Ridge,High,Control,2510-43838,"KG,GA",SY,19.22,10.8,2.955951404,2.379546134,10.78891482,2510-43806,"KG,GA",SY,7/3/09,184,4,7/16/09,197,3,7/26/09,207,3,FLEDGED,3,1328.51475,7.191816868
5761,2590-89856,1,4,,Y,6,17.15,8.5,2.841998174,2.140066163,8.100598994,,,"""09-137""",2009,N Ridge,High,Control,2510-43838,"KG,GA",SY,19.22,10.8,2.955951404,2.379546134,10.78891482,2510-43806,"KG,GA",SY,7/3/09,184,4,7/16/09,197,3,7/26/09,207,3,FLEDGED,3,1328.51475,7.191816868
UNK2,UNK2,,4,,Y,6,,,,,,,,"""09-137""",2009,N Ridge,High,Control,2510-43838,"KG,GA",SY,19.22,10.8,2.955951404,2.379546134,10.78891482,2510-43806,"KG,GA",SY,7/3/09,184,4,7/16/09,197,3,7/26/09,207,3,FLEDGED,3,1328.51475,7.191816868
